"Date","Record Number","Record Type","Address","Status","Description","Project Name","Short Notes",
"02/19/2025","BLDNCC-2025-02595","New Commercial Construction Permit","5100 Eastpark BLVD, 210, Madison WI 53718 United States","Inspections Complete","Collaborative Solutions in Psychiatry - new tenant alteration including alteration to adjacent future tenant space.",,"Collaborative Solutions in Psychiatry - new tenant alteration including alteration to adjacent future tenant",
"02/18/2025","BLDNCC-2025-02514","New Commercial Construction Permit","701 Deming WAY, 100, Madison WI 53717 United States","Closed","Buttonwood Partners Inc - alteration to reception area, break room, add offices",,"Buttonwood Partners Inc - alteration to reception area, break room, add offices",
"02/18/2025","BLDNCC-2025-02496","New Commercial Construction Permit","123 E Wilson ST, Madison WI 53703 United States","Inspections Complete","ONE 09 Food Hall - shell build out",,"ONE 09 Food Hall - shell build out",
"02/18/2025","BLDNCC-2025-02495","New Commercial Construction Permit","119 E Wilson ST, Madison WI 53703 United States","Closed","ONE09 Chop House - shell build out",,"ONE09 Chop House - shell build out",
"02/18/2025","BLDNCC-2025-02493","New Commercial Construction Permit","307 E Wilson ST, Madison WI 53703 United States","Closed","Summit Credit Union - add canopy and clerestory, replace rear stair",,"Summit Credit Union - add canopy and clerestory, replace rear stair",
"02/18/2025","BLDNCC-2025-02492","New Commercial Construction Permit","1221 John Q Hammons DR, 101, Madison WI 53717 United States","Ready for CoO","SSM Health - new tenant alteration, neuropsychology suite",,"SSM Health - new tenant alteration, neuropsychology suite",
"02/17/2025","BLDNCC-2025-02438","New Commercial Construction Permit","2 E Mifflin ST, 701, Madison WI 53703 United States","Inspections Complete","Laffy, Sebranek, Auby, Ristach - divide floor to create this new tenant space and future tenant space",,"Laffy, Sebranek, Auby, Ristach - divide floor to create this new tenant space and future tenant space",
"02/17/2025","BLDNCC-2025-02429","New Commercial Construction Permit","2510 Pennsylvania AVE, Madison WI 53704 United States","Issued","Change of Use Leaflife Wi from office to retail",,"Change of Use Leaflife Wi",
"02/17/2025","BLDNCC-2025-02424","New Commercial Construction Permit","5618 Odana RD, Madison WI 53719 United States","Closed","UW Health - replace existing Xray equipment within an existing room",,"UW Health - replace existing Xray equipment within an existing room",
"02/14/2025","BLDNCC-2025-02355","New Commercial Construction Permit","943 Applegate RD, Madison WI 53713 United States","Closed","Edelweiss Autowerks - shell build out",,"Edelweiss Autowerks - shell build out",
"02/13/2025","BLDNCC-2025-02313","New Commercial Construction Permit","4000 International LN, Madison WI 53704 United States","Issued","Dane County Regional Airport - divide storage room in two for sitting room and storage in training area",,"Dane County Regional Airport - divide storage room in two for sitting room and storage in training area",
"02/13/2025","BLDNCC-2025-02312","New Commercial Construction Permit","3650 Milwaukee ST, Madison WI 53714 United States","Inspections Complete","Amazon - New unheated Automated Vehicle Inspection Building",,"Amazon - New unheated Automated Vehicle Inspection Building",
"02/12/2025","BLDNCC-2025-02263","New Commercial Construction Permit","2003 Red Arrow TRL, Madison WI 53711 United States","Closed","New Restaurant Construction - McDonald's",,"New Restaurant Construction - McDonald's",
"02/11/2025","BLDNCC-2025-02181","New Commercial Construction Permit","8122 Mineral Point RD, Madison WI 53719 United States","Closed","Skechers - New Tenant Alteration",,"Skechers - New Tenant Alteration",
"02/11/2025","BLDNCC-2025-02178","New Commercial Construction Permit","3702 Packers AVE, Madison WI 53704 United States","Closed","replace damaged fire escape on second floor",,"replace damaged fire escape on second floor",
"02/11/2025","BLDNCC-2025-02164","New Commercial Construction Permit","8040 Excelsior DR, 305, Madison WI 53717 United States","Closed","Tetra Tech - new tenant alteration",,"Tetra Tech - new tenant alteration",
"02/11/2025","BLDNCC-2025-02152","New Commercial Construction Permit","313 Junction RD, 103, Madison WI 53717 United States","Closed","Chiroway-Zimmerman - New tenant alteration",,"Chiroway-Zimmerman - New tenant alteration",
"02/11/2025","BLDNCC-2025-02148","New Commercial Construction Permit","440 Science DR, 101, Madison WI 53711 United States","Closed","Madison Divorce Mediation - existing tenant alteration to expand into adjacent suite",,"Madison Divorce Mediation - existing tenant alteration to expand into adjacent suite",
"02/11/2025","BLDNCC-2025-02140","New Commercial Construction Permit","601 Junction RD, 3, Madison WI 53717 United States","Closed","Hydralive Therapy - new tenant alteration",,"Hydralive Therapy - new tenant alteration",
"02/11/2025","BLDNCC-2025-02137","New Commercial Construction Permit","2000 Fordem AVE, Madison WI 53704 United States","Closed","Forward Counseling and Consultation - new tenant alteration",,"Forward Counseling and Consultation - new tenant alteration",
"02/11/2025","BLDNCC-2025-02117","New Commercial Construction Permit","3001 W Beltline HWY, 402, Madison WI 53713 United States","Closed","Madison Psychotherapy and Wellness - new tenant alteration",,"Madison Psychotherapy and Wellness - new tenant alteration",
"02/10/2025","BLDNCC-2025-02074","New Commercial Construction Permit","1150 Williamson ST, 105, Madison WI 53703 United States","Inspections Complete","Certificate of Occupancy for Service Business (Hair Salon)",,"Certificate of Occupancy for Service Business (Hair Salon)",
"02/10/2025","BLDNCC-2025-02047","New Commercial Construction Permit","1297 N Sherman AVE, Madison WI 53704 United States","Closed","Boba Tea - new tenant alteration",,"Boba Tea - new tenant alteration",
"02/06/2025","BLDNCC-2025-01927","New Commercial Construction Permit","10 E Doty ST, 440, Madison WI 53703 United States","Issued","Wisconsin Credit Union League - new tenant alteration, Divide off suite 400 for future tenant",,"Wisconsin Credit Union League - new tenant alteration, Divide off suite 400 for future tenant",
"02/06/2025","BLDNCC-2025-01926","New Commercial Construction Permit","5602 Research Park BLVD, 112, Madison WI 53719 United States","Closed","Aldevron - alteration to change part of existing locker room to office",,"Aldevron - alteration to change part of existing locker room to office",
"02/06/2025","BLDNCC-2025-01899","New Commercial Construction Permit","201 S Gammon RD, Madison WI 53717 United States","Closed","Memorial - divide space into 3 offices",,"Memorial - divide space into 3 offices",
"02/06/2025","BLDNCC-2025-01875","New Commercial Construction Permit","2 E Gilman ST, Madison WI 53703 United States","Closed","National Guardian Life - create conference room in 6th floor",,"National Guardian Life - create conference room in 6th floor",
"02/05/2025","BLDNCC-2025-01829","New Commercial Construction Permit","300 S Bedford ST, Madison WI 53703 United States","Closed","JH Findorff - divide third floor executive suite into two offices",,"JH Findorff - divide third floor executive suite into two offices",
"02/04/2025","BLDNCC-2025-01787","New Commercial Construction Permit","455 Science DR, Madison WI 53711 United States","Closed","alteration to 1st floor shared conference room",,"alteration to 1st floor shared conference room",
"02/04/2025","BLDNCC-2025-01784","New Commercial Construction Permit","429 Gammon PL, 200, Madison WI 53719 United States","Closed","Eating Disorders Support Network - add wall to divide office into two",,"Eating Disorders Support Network - add wall to divide office into two",
"02/04/2025","BLDNCC-2025-01751","New Commercial Construction Permit","2 E Mifflin ST, Madison WI 53703 United States","Closed","9th floor common area toilet rooms alteration",,"9th floor common area toilet rooms alteration",
"02/03/2025","BLDNCC-2025-01702","New Commercial Construction Permit","1 S Park ST, Madison WI 53715 United States","Ready for CoO","UW Health -  interior alteration for Ophthalmology expansion 4th floor",,"UW Health -  interior alteration for Ophthalmology expansion 4th floor",
